timestamp,rssi,lqi,device_id
'2023-08-26 12:23:17,059',-74,107,5
'2023-08-26 12:23:17,059',-74,107,35
'2023-08-26 12:23:17,151',-74,107,35
'2023-08-26 12:23:17,151',-74,107,5
'2023-08-26 12:23:17,245',-74,107,35
'2023-08-26 12:23:17,245',-75,107,5
'2023-08-26 12:23:17,339',-74,107,35
'2023-08-26 12:23:17,339',-74,107,5
'2023-08-26 12:23:17,433',-74,107,35
'2023-08-26 12:23:17,433',-74,107,5
'2023-08-26 12:23:17,526',-74,107,5
'2023-08-26 12:23:17,526',-74,107,35
'2023-08-26 12:23:17,620',-74,107,35
'2023-08-26 12:23:17,620',-75,107,5
'2023-08-26 12:23:17,714',-74,107,35
'2023-08-26 12:23:17,714',-74,107,5
'2023-08-26 12:23:17,808',-74,107,35
'2023-08-26 12:23:17,808',-74,107,5
'2023-08-26 12:23:17,901',-74,107,5
'2023-08-26 12:23:17,902',-74,107,35
'2023-08-26 12:23:17,995',-75,107,5
'2023-08-26 12:23:17,996',-74,107,35
'2023-08-26 12:23:18,088',-74,107,35
'2023-08-26 12:23:18,088',-74,107,5
'2023-08-26 12:23:18,182',-74,107,35
'2023-08-26 12:23:18,182',-74,107,5
'2023-08-26 12:23:18,276',-74,107,35
'2023-08-26 12:23:18,277',-74,107,5
'2023-08-26 12:23:18,369',-74,107,5
'2023-08-26 12:23:18,370',-74,107,35
'2023-08-26 12:23:18,463',-73,107,35
'2023-08-26 12:23:18,463',-74,107,5
'2023-08-26 12:23:18,557',-74,107,35
'2023-08-26 12:23:18,557',-74,107,5
'2023-08-26 12:23:18,651',-74,107,35
'2023-08-26 12:23:18,651',-74,107,5
'2023-08-26 12:23:18,745',-74,107,35
'2023-08-26 12:23:18,746',-74,107,5
'2023-08-26 12:23:18,838',-74,107,5
'2023-08-26 12:23:18,839',-74,107,35
'2023-08-26 12:23:18,933',-74,107,35
'2023-08-26 12:23:18,934',-74,107,5
'2023-08-26 12:23:19,026',-74,107,35
'2023-08-26 12:23:19,026',-74,107,5
'2023-08-26 12:23:19,120',-74,107,35
'2023-08-26 12:23:19,120',-74,107,5
'2023-08-26 12:23:19,214',-74,107,35
'2023-08-26 12:23:19,214',-74,107,5
'2023-08-26 12:23:19,307',-74,107,35
'2023-08-26 12:23:19,307',-74,107,5
'2023-08-26 12:23:19,401',-74,107,35
'2023-08-26 12:23:19,401',-74,107,5
'2023-08-26 12:23:19,495',-74,107,35
'2023-08-26 12:23:19,495',-75,107,5
'2023-08-26 12:23:19,589',-74,107,35
'2023-08-26 12:23:19,589',-74,107,5
'2023-08-26 12:23:19,683',-74,107,35
'2023-08-26 12:23:19,683',-74,107,5
'2023-08-26 12:23:19,775',-74,107,35
'2023-08-26 12:23:19,776',-74,107,5
'2023-08-26 12:23:19,869',-74,107,35
'2023-08-26 12:23:19,870',-74,107,5
'2023-08-26 12:23:19,964',-74,107,35
'2023-08-26 12:23:19,964',-74,107,5
'2023-08-26 12:23:20,058',-74,107,35
'2023-08-26 12:23:20,058',-74,107,5
'2023-08-26 12:23:20,151',-74,107,5
'2023-08-26 12:23:20,152',-74,107,35
'2023-08-26 12:23:20,244',-74,107,35
'2023-08-26 12:23:20,245',-74,107,5
'2023-08-26 12:23:20,339',-74,107,35
'2023-08-26 12:23:20,339',-74,107,5
'2023-08-26 12:23:20,433',-74,107,35
'2023-08-26 12:23:20,433',-74,107,5
'2023-08-26 12:23:20,526',-73,107,35
'2023-08-26 12:23:20,527',-74,107,5
'2023-08-26 12:23:20,619',-75,107,5
'2023-08-26 12:23:20,620',-74,107,35
'2023-08-26 12:23:20,713',-74,107,35
'2023-08-26 12:23:20,713',-74,107,5
'2023-08-26 12:23:20,807',-74,107,35
'2023-08-26 12:23:20,807',-74,107,5
'2023-08-26 12:23:20,901',-74,107,35
'2023-08-26 12:23:20,902',-74,107,5
'2023-08-26 12:23:20,995',-74,107,35
'2023-08-26 12:23:20,996',-74,107,5
'2023-08-26 12:23:21,088',-75,107,5
'2023-08-26 12:23:21,089',-74,107,35
'2023-08-26 12:23:21,182',-74,107,35
'2023-08-26 12:23:21,182',-74,107,5
'2023-08-26 12:23:21,276',-74,107,35
'2023-08-26 12:23:21,276',-74,107,5
'2023-08-26 12:23:21,370',-74,107,35
'2023-08-26 12:23:21,370',-74,107,5
'2023-08-26 12:23:21,464',-74,107,35
'2023-08-26 12:23:21,464',-74,107,5
'2023-08-26 12:23:21,557',-74,107,35
'2023-08-26 12:23:21,557',-74,107,5
'2023-08-26 12:23:21,651',-74,107,35
'2023-08-26 12:23:21,651',-74,107,5
'2023-08-26 12:23:21,745',-74,107,35
'2023-08-26 12:23:21,745',-74,107,5
'2023-08-26 12:23:21,839',-74,107,35
'2023-08-26 12:23:21,839',-74,107,5
'2023-08-26 12:23:21,933',-74,107,35
'2023-08-26 12:23:21,933',-74,107,5
'2023-08-26 12:23:22,025',-74,107,35
'2023-08-26 12:23:22,026',-75,107,5
'2023-08-26 12:23:22,119',-74,107,35
'2023-08-26 12:23:22,120',-74,107,5
'2023-08-26 12:23:22,214',-74,107,35
'2023-08-26 12:23:22,214',-74,107,5
'2023-08-26 12:23:22,308',-74,107,35
'2023-08-26 12:23:22,308',-75,107,5
'2023-08-26 12:23:22,401',-74,107,5
'2023-08-26 12:23:22,402',-74,107,35
'2023-08-26 12:23:22,494',-74,107,35
'2023-08-26 12:23:22,495',-74,107,5
'2023-08-26 12:23:22,588',-74,107,35
'2023-08-26 12:23:22,589',-75,107,5
'2023-08-26 12:23:22,682',-74,107,35
'2023-08-26 12:23:22,683',-74,107,5
'2023-08-26 12:23:22,777',-74,107,35
'2023-08-26 12:23:22,777',-74,107,5
'2023-08-26 12:23:22,869',-74,107,5
'2023-08-26 12:23:22,870',-74,107,35
'2023-08-26 12:23:22,963',-74,107,35
'2023-08-26 12:23:22,963',-75,107,5
'2023-08-26 12:23:23,057',-74,107,35
'2023-08-26 12:23:23,057',-74,107,5
'2023-08-26 12:23:23,151',-74,107,35
'2023-08-26 12:23:23,152',-74,107,5
'2023-08-26 12:23:23,245',-74,107,35
'2023-08-26 12:23:23,246',-75,107,5
'2023-08-26 12:23:23,338',-75,107,5
'2023-08-26 12:23:23,339',-74,107,35
'2023-08-26 12:23:23,432',-74,107,35
'2023-08-26 12:23:23,432',-74,107,5
'2023-08-26 12:23:23,526',-73,107,35
'2023-08-26 12:23:23,526',-74,107,5
'2023-08-26 12:23:23,620',-74,107,35
'2023-08-26 12:23:23,620',-75,107,5
