timestamp,rssi,lqi,device_id
'2023-08-26 12:32:35,298',-100,38,121
'2023-08-26 12:32:35,385',-100,38,121
'2023-08-26 12:32:35,479',-100,38,121
'2023-08-26 12:32:35,573',-100,38,121
'2023-08-26 12:32:35,761',-100,38,121
'2023-08-26 12:32:35,949',-100,74,121
'2023-08-26 12:32:36,043',-100,74,121
'2023-08-26 12:32:36,135',-100,74,121
'2023-08-26 12:32:36,417',-100,74,121
'2023-08-26 12:32:36,605',-100,74,121
'2023-08-26 12:32:36,699',-100,74,121
'2023-08-26 12:32:36,980',-101,74,121
'2023-08-26 12:32:37,073',-100,74,121
'2023-08-26 12:32:37,261',-100,74,121
'2023-08-26 12:32:37,448',-100,66,121
'2023-08-26 12:32:37,730',-100,62,121
'2023-08-26 12:32:37,918',-101,64,121
'2023-08-26 12:32:38,104',-100,64,121
'2023-08-26 12:32:38,198',-100,64,121
'2023-08-26 12:32:38,386',-100,64,121
'2023-08-26 12:32:38,480',-100,64,121
'2023-08-26 12:32:38,668',-100,64,121
'2023-08-26 12:32:38,854',-100,67,121
'2023-08-26 12:32:39,136',-100,63,121
'2023-08-26 12:32:39,230',-100,63,121
'2023-08-26 12:32:39,324',-100,63,121
'2023-08-26 12:32:39,511',-100,63,121
'2023-08-26 12:32:39,698',-100,71,121
'2023-08-26 12:32:39,792',-100,71,121
'2023-08-26 12:32:39,886',-101,71,121
'2023-08-26 12:32:39,980',-100,71,121
'2023-08-26 12:32:40,168',-100,71,121
'2023-08-26 12:32:40,262',-100,71,121
'2023-08-26 12:32:40,355',-101,71,121
'2023-08-26 12:32:40,449',-100,71,121
'2023-08-26 12:32:40,730',-100,71,121
'2023-08-26 12:32:40,823',-101,71,121
'2023-08-26 12:32:40,917',-100,71,121
'2023-08-26 12:32:41,011',-100,71,121
'2023-08-26 12:32:41,199',-101,71,121
'2023-08-26 12:32:41,386',-100,70,121
'2023-08-26 12:32:41,479',-100,70,121
'2023-08-26 12:32:41,573',-100,70,121
'2023-08-26 12:32:41,667',-100,70,121
'2023-08-26 12:32:41,761',-100,70,121
'2023-08-26 12:32:41,856',-100,70,121
'2023-08-26 12:32:42,136',-100,68,121
'2023-08-26 12:32:42,230',-100,68,121
'2023-08-26 12:32:42,699',-100,64,121
'2023-08-26 12:32:42,981',-100,64,121
'2023-08-26 12:32:43,073',-100,64,121
'2023-08-26 12:32:43,355',-100,71,121
'2023-08-26 12:32:43,730',-101,69,121
'2023-08-26 12:32:43,824',-101,69,121
'2023-08-26 12:32:44,012',-100,69,121
