timestamp,rssi,lqi,device_id
'2023-08-26 12:23:17,059',-74,107,5
'2023-08-26 12:23:17,151',-74,107,5
'2023-08-26 12:23:17,245',-75,107,5
'2023-08-26 12:23:17,339',-74,107,5
'2023-08-26 12:23:17,433',-74,107,5
'2023-08-26 12:23:17,526',-74,107,5
'2023-08-26 12:23:17,620',-75,107,5
'2023-08-26 12:23:17,714',-74,107,5
'2023-08-26 12:23:17,808',-74,107,5
'2023-08-26 12:23:17,901',-74,107,5
'2023-08-26 12:23:17,995',-75,107,5
'2023-08-26 12:23:18,088',-74,107,5
'2023-08-26 12:23:18,182',-74,107,5
'2023-08-26 12:23:18,277',-74,107,5
'2023-08-26 12:23:18,369',-74,107,5
'2023-08-26 12:23:18,463',-74,107,5
'2023-08-26 12:23:18,557',-74,107,5
'2023-08-26 12:23:18,651',-74,107,5
'2023-08-26 12:23:18,746',-74,107,5
'2023-08-26 12:23:18,838',-74,107,5
'2023-08-26 12:23:18,934',-74,107,5
'2023-08-26 12:23:19,026',-74,107,5
'2023-08-26 12:23:19,120',-74,107,5
'2023-08-26 12:23:19,214',-74,107,5
'2023-08-26 12:23:19,307',-74,107,5
'2023-08-26 12:23:19,401',-74,107,5
'2023-08-26 12:23:19,495',-75,107,5
'2023-08-26 12:23:19,589',-74,107,5
'2023-08-26 12:23:19,683',-74,107,5
'2023-08-26 12:23:19,776',-74,107,5
'2023-08-26 12:23:19,870',-74,107,5
'2023-08-26 12:23:19,964',-74,107,5
'2023-08-26 12:23:20,058',-74,107,5
'2023-08-26 12:23:20,151',-74,107,5
'2023-08-26 12:23:20,245',-74,107,5
'2023-08-26 12:23:20,339',-74,107,5
'2023-08-26 12:23:20,433',-74,107,5
'2023-08-26 12:23:20,527',-74,107,5
'2023-08-26 12:23:20,619',-75,107,5
'2023-08-26 12:23:20,713',-74,107,5
'2023-08-26 12:23:20,807',-74,107,5
'2023-08-26 12:23:20,902',-74,107,5
'2023-08-26 12:23:20,996',-74,107,5
'2023-08-26 12:23:21,088',-75,107,5
'2023-08-26 12:23:21,182',-74,107,5
'2023-08-26 12:23:21,276',-74,107,5
'2023-08-26 12:23:21,370',-74,107,5
'2023-08-26 12:23:21,464',-74,107,5
'2023-08-26 12:23:21,557',-74,107,5
'2023-08-26 12:23:21,651',-74,107,5
'2023-08-26 12:23:21,745',-74,107,5
'2023-08-26 12:23:21,839',-74,107,5
'2023-08-26 12:23:21,933',-74,107,5
'2023-08-26 12:23:22,026',-75,107,5
'2023-08-26 12:23:22,120',-74,107,5
'2023-08-26 12:23:22,214',-74,107,5
'2023-08-26 12:23:22,308',-75,107,5
'2023-08-26 12:23:22,401',-74,107,5
'2023-08-26 12:23:22,495',-74,107,5
'2023-08-26 12:23:22,589',-75,107,5
'2023-08-26 12:23:22,683',-74,107,5
'2023-08-26 12:23:22,777',-74,107,5
'2023-08-26 12:23:22,869',-74,107,5
'2023-08-26 12:23:22,963',-75,107,5
'2023-08-26 12:23:23,057',-74,107,5
'2023-08-26 12:23:23,152',-74,107,5
'2023-08-26 12:23:23,246',-75,107,5
'2023-08-26 12:23:23,338',-75,107,5
'2023-08-26 12:23:23,432',-74,107,5
'2023-08-26 12:23:23,526',-74,107,5
'2023-08-26 12:23:23,620',-75,107,5
'2023-08-26 12:23:23,714',-74,107,5
'2023-08-26 12:23:23,807',-74,107,5
'2023-08-26 12:23:23,901',-74,107,5
'2023-08-26 12:23:23,995',-74,107,5
'2023-08-26 12:23:24,089',-74,107,5
'2023-08-26 12:23:24,183',-74,107,5
'2023-08-26 12:23:24,276',-74,107,5
'2023-08-26 12:23:24,370',-74,107,5
'2023-08-26 12:23:24,464',-74,107,5
'2023-08-26 12:23:24,558',-74,107,5
'2023-08-26 12:23:24,650',-74,107,5
'2023-08-26 12:23:24,744',-74,107,5
'2023-08-26 12:23:24,839',-74,107,5
'2023-08-26 12:23:24,933',-74,107,5
'2023-08-26 12:23:25,027',-74,107,5
'2023-08-26 12:23:25,120',-74,107,5
'2023-08-26 12:23:25,214',-74,107,5
'2023-08-26 12:23:25,308',-74,107,5
'2023-08-26 12:23:25,402',-74,107,5
'2023-08-26 12:23:25,496',-74,107,5
'2023-08-26 12:23:25,588',-74,107,5
'2023-08-26 12:23:25,682',-74,107,5
'2023-08-26 12:23:25,776',-74,107,5
'2023-08-26 12:23:25,871',-74,107,5
'2023-08-26 12:23:25,965',-74,107,5
'2023-08-26 12:23:26,057',-74,107,5
'2023-08-26 12:23:26,151',-75,107,5
'2023-08-26 12:23:26,246',-74,107,5
'2023-08-26 12:23:26,341',-74,107,5
'2023-08-26 12:23:27,608',-80,107,5
'2023-08-26 12:23:27,697',-80,107,5
'2023-08-26 12:23:27,791',-79,107,5
'2023-08-26 12:23:27,885',-79,107,5
'2023-08-26 12:23:27,979',-79,107,5
'2023-08-26 12:23:28,072',-79,107,5
'2023-08-26 12:23:28,166',-80,107,5
'2023-08-26 12:23:28,260',-80,107,5
'2023-08-26 12:23:28,354',-79,107,5
'2023-08-26 12:23:28,448',-79,107,5
'2023-08-26 12:23:28,541',-79,107,5
'2023-08-26 12:23:28,635',-79,107,5
'2023-08-26 12:23:28,729',-79,107,5
'2023-08-26 12:23:28,823',-79,107,5
'2023-08-26 12:23:28,917',-79,107,5
'2023-08-26 12:23:29,022',-79,107,5
'2023-08-26 12:23:29,103',-79,107,5
'2023-08-26 12:23:29,198',-79,107,5
'2023-08-26 12:23:29,292',-79,107,5
'2023-08-26 12:23:29,386',-80,107,5
'2023-08-26 12:23:29,478',-79,107,5
'2023-08-26 12:23:29,573',-79,107,5
'2023-08-26 12:23:29,667',-79,107,5
'2023-08-26 12:23:29,760',-79,107,5
'2023-08-26 12:23:29,854',-79,107,5
'2023-08-26 12:23:29,947',-79,107,5
'2023-08-26 12:23:30,041',-80,107,5
'2023-08-26 12:23:30,135',-79,107,5
'2023-08-26 12:23:30,230',-79,107,5
'2023-08-26 12:23:30,323',-80,107,5
'2023-08-26 12:23:30,417',-80,107,5
'2023-08-26 12:23:30,511',-79,107,5
'2023-08-26 12:23:30,604',-79,107,5
'2023-08-26 12:23:30,698',-79,107,5
'2023-08-26 12:23:30,791',-80,107,5
'2023-08-26 12:23:30,885',-80,107,5
'2023-08-26 12:23:30,979',-79,107,5
'2023-08-26 12:23:31,073',-79,107,5
'2023-08-26 12:23:31,167',-79,107,5
